Time in Video (sec) ,Behavior,Time of Day (msec),,Timestamp
518.233,Clap,62824790.59,,62306557.59
524.633,Clap,62831190.59,,62306557.59
577.2,Clap,62883757.59,,62306557.59
599.767,Clap,62906324.59,,62306557.59
624.867,Clap,62931424.59,,62306557.59
647.467,Clap,62954024.59,,62306557.59
670.533,Clap,62977090.59,,62306557.59
722.167,Clap,63028724.59,,62306557.59
792.3,Clap,63098857.59,,62306557.59
874.367,Clap,63180924.59,,62306557.59
884.667,Clap,63191224.59,,62306557.59
929.133,Clap,63235690.59,,62306557.59
953.333,Clap,63259890.59,,62306557.59
